request_number,nsn,quantity,unit,mfr,delivery_days,fob,packaging_type,iso,sampling,inspection_point,skipped
,,,Co,,,"DESTINATION
OTHER","REQUIREMENTS FOR PROCUREMENT 
 
 
RQ",YES,NO,REQUIRED,True
,,,Co,,,"DESTINATION
OTHER","REQUIREMENTS FOR PROCUREMENT 
 
 
RQ",YES,YES,REQUIRED,True
,,,ed,,,"DESTINATION
OTHER","REQUIREMENTS FOR PROCUREMENT 
 
 
RQ",YES,YES,REQUIRED,True
,,,ed,,,"DESTINATION
OTHER","REQUIREMENTS FOR PROCUREMENT 
 
 
RQ",YES,YES,REQUIRED,True
,,,ed,,,"DESTINATION
OTHER","REQUIREMENTS FOR PROCUREMENT 
 
 
RQ",YES,YES,REQUIRED,True
,,,Co,,,"DESTINATION
OTHER","REQUIREMENTS FOR PROCUREMENT 
 
 
RQ",YES,YES,REQUIRED,True
,,,ed,,,"DESTINATION
OTHER","REQUIREMENTS FOR PROCUREMENT 
 
 
RQ",YES,YES,REQUIRED,True
,,,Co,,,"DESTINATION
OTHER","REQUIREMENTS FOR PROCUREMENT 
 
 
RQ",YES,NO,REQUIRED,True
,,,ed,,,"DESTINATION
OTHER","REQUIREMENTS FOR PROCUREMENT 
 
 
RQ",YES,YES,REQUIRED,True
,,,Co,,,"DESTINATION
OTHER","REQUIREMENTS FOR PROCUREMENT 
 
 
RQ",YES,YES,REQUIRED,True
,,,Co,,,"DESTINATION
OTHER","REQUIREMENTS FOR PROCUREMENT 
 
 
RQ",YES,NO,REQUIRED,True
,,,ed,,,"DESTINATION
OTHER","REQUIREMENTS FOR PROCUREMENT 
 
 
RQ",YES,YES,REQUIRED,True
,,,ed,,,"DESTINATION
OTHER","REQUIREMENTS FOR PROCUREMENT 
 
 
RQ",YES,YES,REQUIRED,True
,,,ed,,,"DESTINATION
OTHER","REQUIREMENTS FOR PROCUREMENT 
 
 
RQ",YES,YES,REQUIRED,True
,,,ed,,,"DESTINATION
OTHER","REQUIREMENTS FOR PROCUREMENT 
 
 
RQ",YES,YES,REQUIRED,True
,,,ed,,,"DESTINATION
OTHER","REQUIREMENTS FOR PROCUREMENT 
 
 
RQ",YES,YES,REQUIRED,True
,,,Co,,,"DESTINATION
OTHER","REQUIREMENTS FOR PROCUREMENT 
 
 
RQ",YES,NO,REQUIRED,True
,,,Co,,,"DESTINATION
OTHER","REQUIREMENTS FOR PROCUREMENT 
 
 
RQ",YES,YES,REQUIRED,True
